DeviceId,Platform,Encryption,AuthenticationMethod,OSVersion,RootOrJailbreak,BitLocker,SecureBoot,TPM,DefenderAV,ComplianceStatusBefore,ComplianceStatusAfter
AND-023,Android,Yes (AES),4-digit PIN,14.0,Clean,,,,,Compliant,Compliant
AND-024,Android,Yes (AES),Alphanumeric (8),13.0,Rooted,,,,,Noncompliant,Compliant
AND-025,Android,No,Alphanumeric (8),14.0,Rooted,,,,,Noncompliant,Compliant
AND-026,Android,Yes (AES),Biometric + PIN,12.0,Rooted,,,,,Compliant,Compliant
AND-027,Android,No,Alphanumeric (8),12.0,Rooted,,,,,Noncompliant,Compliant
AND-028,Android,Yes (AES),Biometric + PIN,11.0,Clean,,,,,Noncompliant,Compliant
AND-029,Android,Yes (AES),4-digit PIN,11.0,Rooted,,,,,Noncompliant,Compliant
AND-030,Android,No,4-digit PIN,11.0,Rooted,,,,,Noncompliant,Compliant
AND-031,Android,No,4-digit PIN,13.0,Rooted,,,,,Noncompliant,Compliant
AND-032,Android,No,Biometric + PIN,11.0,Rooted,,,,,Compliant,Compliant
AND-033,Android,Yes (AES),Alphanumeric (8),13.0,Clean,,,,,Noncompliant,Compliant
AND-034,Android,No,Alphanumeric (8),12.0,Rooted,,,,,Noncompliant,Compliant
AND-035,Android,No,Biometric + PIN,14.0,Rooted,,,,,Compliant,Compliant
AND-036,Android,Yes (AES),Alphanumeric (8),13.0,Clean,,,,,Noncompliant,Compliant
AND-037,Android,Yes (AES),Biometric + PIN,12.0,Rooted,,,,,Noncompliant,Compliant
AND-038,Android,No,Biometric + PIN,13.0,Rooted,,,,,Compliant,Compliant
AND-039,Android,Yes (AES),Alphanumeric (8),11.0,Clean,,,,,Noncompliant,Compliant
AND-040,Android,Yes (AES),Alphanumeric (8),13.0,Clean,,,,,Noncompliant,Compliant
AND-041,Android,No,Alphanumeric (8),12.0,Clean,,,,,Noncompliant,Compliant
AND-042,Android,No,4-digit PIN,13.0,Clean,,,,,Noncompliant,Compliant
AND-043,Android,Yes (AES),Biometric + PIN,11.0,Rooted,,,,,Noncompliant,Compliant
AND-044,Android,Yes (AES),Biometric + PIN,12.0,Rooted,,,,,Noncompliant,Compliant
AND-045,Android,Yes (AES),Alphanumeric (8),11.0,Clean,,,,,Noncompliant,Compliant
AND-046,Android,Yes (AES),Biometric + PIN,11.0,Clean,,,,,Noncompliant,Compliant
AND-047,Android,No,Alphanumeric (8),13.0,Clean,,,,,Compliant,Compliant
AND-048,Android,No,Alphanumeric (8),12.0,Clean,,,,,Noncompliant,Compliant
AND-049,Android,No,4-digit PIN,14.0,Clean,,,,,Noncompliant,Compliant
AND-050,Android,No,Alphanumeric (8),14.0,Rooted,,,,,Noncompliant,Compliant
AND-051,Android,No,4-digit PIN,14.0,Rooted,,,,,Noncompliant,Compliant
AND-052,Android,Yes (AES),Biometric + PIN,12.0,Rooted,,,,,Noncompliant,Compliant
AND-053,Android,Yes (AES),Biometric + PIN,12.0,Rooted,,,,,Noncompliant,Compliant
AND-054,Android,No,Biometric + PIN,14.0,Clean,,,,,Noncompliant,Compliant
AND-055,Android,Yes (AES),4-digit PIN,14.0,Rooted,,,,,Compliant,Compliant
AND-056,Android,No,Alphanumeric (8),11.0,Rooted,,,,,Noncompliant,Compliant
AND-057,Android,No,Alphanumeric (8),14.0,Rooted,,,,,Compliant,Compliant
AND-058,Android,No,Alphanumeric (8),14.0,Clean,,,,,Compliant,Compliant
AND-059,Android,No,4-digit PIN,11.0,Rooted,,,,,Noncompliant,Compliant
AND-060,Android,Yes (AES),Biometric + PIN,12.0,Rooted,,,,,Noncompliant,Compliant
AND-061,Android,No,Biometric + PIN,12.0,Rooted,,,,,Compliant,Compliant
AND-062,Android,Yes (AES),Biometric + PIN,13.0,Rooted,,,,,Noncompliant,Compliant
AND-063,Android,Yes (AES),4-digit PIN,11.0,Clean,,,,,Noncompliant,Compliant
AND-064,Android,No,Biometric + PIN,12.0,Clean,,,,,Noncompliant,Compliant
AND-065,Android,Yes (AES),Biometric + PIN,13.0,Clean,,,,,Noncompliant,Compliant
AND-066,Android,No,4-digit PIN,14.0,Rooted,,,,,Noncompliant,Compliant
AND-067,Android,No,Alphanumeric (8),14.0,Rooted,,,,,Compliant,Compliant
AND-068,Android,No,4-digit PIN,14.0,Clean,,,,,Noncompliant,Compliant
AND-069,Android,Yes (AES),4-digit PIN,12.0,Clean,,,,,Compliant,Compliant
AND-070,Android,Yes (AES),Biometric + PIN,13.0,Rooted,,,,,Noncompliant,Compliant
AND-071,Android,No,Alphanumeric (8),11.0,Rooted,,,,,Noncompliant,Compliant
AND-072,Android,Yes (AES),Alphanumeric (8),12.0,Rooted,,,,,Noncompliant,Compliant
AND-073,Android,Yes (AES),Biometric + PIN,13.0,Rooted,,,,,Compliant,Compliant
AND-074,Android,Yes (AES),Alphanumeric (8),12.0,Clean,,,,,Noncompliant,Compliant
AND-075,Android,Yes (AES),4-digit PIN,12.0,Clean,,,,,Noncompliant,Compliant
AND-076,Android,Yes (AES),4-digit PIN,14.0,Rooted,,,,,Compliant,Compliant
AND-077,Android,Yes (AES),Biometric + PIN,11.0,Rooted,,,,,Noncompliant,Compliant
AND-078,Android,No,Alphanumeric (8),14.0,Rooted,,,,,Compliant,Compliant
AND-079,Android,No,Biometric + PIN,13.0,Rooted,,,,,Compliant,Compliant
AND-080,Android,No,4-digit PIN,12.0,Clean,,,,,Noncompliant,Compliant
AND-081,Android,No,Biometric + PIN,14.0,Clean,,,,,Noncompliant,Compliant
AND-082,Android,No,Biometric + PIN,11.0,Rooted,,,,,Compliant,Compliant
AND-083,Android,Yes (AES),Biometric + PIN,13.0,Clean,,,,,Compliant,Compliant
AND-084,Android,Yes (AES),Alphanumeric (8),11.0,Clean,,,,,Noncompliant,Compliant
AND-085,Android,Yes (AES),Alphanumeric (8),11.0,Rooted,,,,,Compliant,Compliant
AND-086,Android,Yes (AES),4-digit PIN,14.0,Clean,,,,,Noncompliant,Compliant
AND-087,Android,No,Biometric + PIN,11.0,Rooted,,,,,Noncompliant,Compliant
AND-088,Android,Yes (AES),Biometric + PIN,14.0,Rooted,,,,,Compliant,Compliant
AND-089,Android,Yes (AES),4-digit PIN,11.0,Clean,,,,,Noncompliant,Compliant
AND-090,Android,Yes (AES),Alphanumeric (8),13.0,Rooted,,,,,Compliant,Compliant
AND-091,Android,No,Biometric + PIN,12.0,Clean,,,,,Noncompliant,Compliant
AND-092,Android,Yes (AES),Biometric + PIN,11.0,Rooted,,,,,Compliant,Compliant
AND-093,Android,No,Biometric + PIN,12.0,Rooted,,,,,Noncompliant,Compliant
AND-094,Android,No,Alphanumeric (8),12.0,Rooted,,,,,Noncompliant,Compliant
AND-095,Android,No,4-digit PIN,13.0,Clean,,,,,Noncompliant,Compliant
AND-096,Android,Yes (AES),Biometric + PIN,12.0,Rooted,,,,,Noncompliant,Compliant
AND-097,Android,No,4-digit PIN,14.0,Rooted,,,,,Noncompliant,Compliant
AND-098,Android,Yes (AES),4-digit PIN,11.0,Clean,,,,,Noncompliant,Compliant
AND-099,Android,No,Alphanumeric (8),12.0,Rooted,,,,,Noncompliant,Compliant
AND-100,Android,No,Biometric + PIN,14.0,Clean,,,,,Noncompliant,Compliant
AND-101,Android,No,4-digit PIN,13.0,Rooted,,,,,Noncompliant,Compliant
AND-102,Android,No,Biometric + PIN,11.0,Clean,,,,,Compliant,Compliant
AND-103,Android,No,4-digit PIN,11.0,Rooted,,,,,Noncompliant,Compliant
AND-104,Android,No,4-digit PIN,13.0,Clean,,,,,Noncompliant,Compliant
AND-105,Android,No,Biometric + PIN,13.0,Rooted,,,,,Compliant,Compliant
AND-106,Android,Yes (AES),Biometric + PIN,12.0,Clean,,,,,Compliant,Compliant
AND-107,Android,Yes (AES),Biometric + PIN,11.0,Rooted,,,,,Noncompliant,Compliant
AND-108,Android,Yes (AES),Biometric + PIN,13.0,Clean,,,,,Noncompliant,Compliant
AND-109,Android,No,Biometric + PIN,11.0,Clean,,,,,Compliant,Compliant
AND-110,Android,Yes (AES),4-digit PIN,13.0,Rooted,,,,,Compliant,Compliant
AND-111,Android,Yes (AES),Biometric + PIN,12.0,Clean,,,,,Noncompliant,Compliant
AND-112,Android,No,Alphanumeric (8),14.0,Clean,,,,,Noncompliant,Compliant
AND-113,Android,Yes (AES),4-digit PIN,13.0,Rooted,,,,,Compliant,Compliant
AND-114,Android,No,Alphanumeric (8),12.0,Rooted,,,,,Noncompliant,Compliant
AND-115,Android,Yes (AES),4-digit PIN,13.0,Clean,,,,,Compliant,Compliant
AND-116,Android,Yes (AES),Biometric + PIN,14.0,Rooted,,,,,Noncompliant,Compliant
AND-117,Android,Yes (AES),Biometric + PIN,13.0,Rooted,,,,,Noncompliant,Compliant
AND-118,Android,No,Biometric + PIN,14.0,Rooted,,,,,Noncompliant,Compliant
AND-119,Android,No,4-digit PIN,14.0,Clean,,,,,Noncompliant,Compliant
AND-120,Android,No,Biometric + PIN,14.0,Rooted,,,,,Noncompliant,Compliant
AND-121,Android,Yes (AES),Alphanumeric (8),12.0,Rooted,,,,,Noncompliant,Compliant
AND-122,Android,No,4-digit PIN,12.0,Rooted,,,,,Noncompliant,Compliant
AND-123,Android,Yes (AES),Biometric + PIN,12.0,Rooted,,,,,Noncompliant,Compliant
AND-124,Android,Yes (AES),Biometric + PIN,14.0,Rooted,,,,,Noncompliant,Compliant
AND-125,Android,Yes (AES),4-digit PIN,12.0,Rooted,,,,,Compliant,Compliant
AND-126,Android,Yes (AES),Biometric + PIN,13.0,Clean,,,,,Noncompliant,Compliant
AND-127,Android,No,4-digit PIN,13.0,Clean,,,,,Noncompliant,Compliant
AND-128,Android,Yes (AES),4-digit PIN,12.0,Clean,,,,,Compliant,Compliant
AND-129,Android,No,4-digit PIN,12.0,Rooted,,,,,Compliant,Compliant
AND-130,Android,Yes (AES),Biometric + PIN,13.0,Rooted,,,,,Compliant,Compliant
AND-131,Android,Yes (AES),Alphanumeric (8),14.0,Clean,,,,,Compliant,Compliant
AND-132,Android,Yes (AES),4-digit PIN,12.0,Clean,,,,,Noncompliant,Compliant
AND-133,Android,No,Biometric + PIN,14.0,Clean,,,,,Compliant,Compliant
AND-134,Android,Yes (AES),Alphanumeric (8),12.0,Clean,,,,,Compliant,Compliant
AND-135,Android,No,Biometric + PIN,11.0,Rooted,,,,,Compliant,Compliant
AND-136,Android,No,Alphanumeric (8),12.0,Clean,,,,,Compliant,Compliant
AND-137,Android,Yes (AES),Alphanumeric (8),12.0,Clean,,,,,Noncompliant,Compliant
AND-138,Android,No,4-digit PIN,14.0,Rooted,,,,,Noncompliant,Compliant
AND-139,Android,Yes (AES),4-digit PIN,14.0,Rooted,,,,,Compliant,Compliant
AND-140,Android,No,Alphanumeric (8),13.0,Rooted,,,,,Compliant,Compliant
AND-141,Android,Yes (AES),4-digit PIN,11.0,Clean,,,,,Noncompliant,Compliant
AND-142,Android,No,Alphanumeric (8),13.0,Rooted,,,,,Noncompliant,Compliant
AND-143,Android,No,4-digit PIN,12.0,Clean,,,,,Noncompliant,Compliant
AND-144,Android,No,Alphanumeric (8),13.0,Clean,,,,,Noncompliant,Compliant
AND-145,Android,No,Alphanumeric (8),11.0,Rooted,,,,,Compliant,Compliant
AND-146,Android,No,Alphanumeric (8),14.0,Rooted,,,,,Noncompliant,Compliant
AND-147,Android,No,4-digit PIN,12.0,Rooted,,,,,Noncompliant,Compliant
AND-148,Android,No,Alphanumeric (8),14.0,Clean,,,,,Noncompliant,Compliant
AND-149,Android,No,Alphanumeric (8),11.0,Clean,,,,,Noncompliant,Compliant
AND-150,Android,Yes (AES),4-digit PIN,14.0,Clean,,,,,Noncompliant,Compliant
AND-151,Android,Yes (AES),Biometric + PIN,12.0,Rooted,,,,,Noncompliant,Compliant
AND-152,Android,Yes (AES),Alphanumeric (8),14.0,Clean,,,,,Noncompliant,Compliant
AND-153,Android,No,Biometric + PIN,13.0,Rooted,,,,,Compliant,Compliant
AND-154,Android,No,4-digit PIN,12.0,Rooted,,,,,Noncompliant,Compliant
AND-155,Android,Yes (AES),Alphanumeric (8),13.0,Rooted,,,,,Compliant,Compliant
AND-156,Android,Yes (AES),Alphanumeric (8),13.0,Rooted,,,,,Compliant,Compliant
AND-157,Android,No,Biometric + PIN,12.0,Clean,,,,,Compliant,Compliant
AND-158,Android,No,Biometric + PIN,11.0,Clean,,,,,Compliant,Compliant
AND-159,Android,Yes (AES),4-digit PIN,14.0,Clean,,,,,Noncompliant,Compliant
AND-160,Android,No,4-digit PIN,11.0,Clean,,,,,Compliant,Compliant
AND-161,Android,No,Alphanumeric (8),14.0,Rooted,,,,,Compliant,Compliant
AND-162,Android,No,Biometric + PIN,14.0,Clean,,,,,Noncompliant,Compliant
AND-163,Android,No,Biometric + PIN,14.0,Clean,,,,,Noncompliant,Compliant
AND-164,Android,Yes (AES),Alphanumeric (8),13.0,Rooted,,,,,Noncompliant,Compliant
AND-165,Android,No,Biometric + PIN,13.0,Clean,,,,,Noncompliant,Compliant
AND-166,Android,No,Biometric + PIN,11.0,Clean,,,,,Noncompliant,Compliant
AND-167,Android,Yes (AES),4-digit PIN,13.0,Rooted,,,,,Compliant,Compliant
AND-168,Android,Yes (AES),Biometric + PIN,12.0,Rooted,,,,,Noncompliant,Compliant
AND-169,Android,No,Alphanumeric (8),12.0,Clean,,,,,Compliant,Compliant
AND-170,Android,Yes (AES),Biometric + PIN,11.0,Clean,,,,,Noncompliant,Compliant
AND-171,Android,Yes (AES),Alphanumeric (8),11.0,Rooted,,,,,Noncompliant,Compliant
AND-172,Android,No,Biometric + PIN,14.0,Clean,,,,,Compliant,Compliant
AND-173,Android,Yes (AES),4-digit PIN,14.0,Clean,,,,,Noncompliant,Compliant
AND-174,Android,No,4-digit PIN,13.0,Rooted,,,,,Noncompliant,Compliant
AND-175,Android,No,Alphanumeric (8),12.0,Rooted,,,,,Noncompliant,Compliant
AND-176,Android,No,Alphanumeric (8),11.0,Rooted,,,,,Noncompliant,Compliant
AND-177,Android,Yes (AES),Biometric + PIN,12.0,Rooted,,,,,Compliant,Compliant
AND-178,Android,Yes (AES),4-digit PIN,12.0,Rooted,,,,,Noncompliant,Compliant
AND-179,Android,No,Biometric + PIN,11.0,Clean,,,,,Noncompliant,Compliant
AND-180,Android,Yes (AES),Alphanumeric (8),14.0,Rooted,,,,,Compliant,Compliant
AND-181,Android,Yes (AES),Alphanumeric (8),11.0,Rooted,,,,,Noncompliant,Compliant
AND-182,Android,No,Alphanumeric (8),12.0,Rooted,,,,,Compliant,Compliant
AND-183,Android,No,4-digit PIN,11.0,Rooted,,,,,Noncompliant,Compliant
AND-184,Android,Yes (AES),4-digit PIN,13.0,Rooted,,,,,Noncompliant,Compliant
AND-185,Android,Yes (AES),4-digit PIN,14.0,Rooted,,,,,Noncompliant,Compliant
AND-186,Android,No,Biometric + PIN,11.0,Clean,,,,,Compliant,Compliant
AND-187,Android,No,Biometric + PIN,11.0,Rooted,,,,,Compliant,Compliant
AND-188,Android,No,Biometric + PIN,11.0,Clean,,,,,Compliant,Compliant
AND-189,Android,No,Alphanumeric (8),11.0,Clean,,,,,Noncompliant,Compliant
AND-190,Android,Yes (AES),4-digit PIN,12.0,Clean,,,,,Noncompliant,Compliant
AND-191,Android,Yes (AES),Alphanumeric (8),12.0,Rooted,,,,,Noncompliant,Compliant
AND-192,Android,Yes (AES),Biometric + PIN,13.0,Rooted,,,,,Noncompliant,Compliant
AND-193,Android,Yes (AES),4-digit PIN,13.0,Clean,,,,,Compliant,Compliant
AND-194,Android,No,4-digit PIN,14.0,Clean,,,,,Noncompliant,Compliant
AND-195,Android,No,4-digit PIN,13.0,Rooted,,,,,Noncompliant,Compliant
AND-196,Android,No,Biometric + PIN,14.0,Rooted,,,,,Compliant,Compliant
AND-197,Android,Yes (AES),4-digit PIN,12.0,Clean,,,,,Compliant,Compliant
AND-198,Android,No,4-digit PIN,11.0,Clean,,,,,Compliant,Compliant
AND-199,Android,Yes (AES),Alphanumeric (8),12.0,Rooted,,,,,Noncompliant,Compliant
AND-200,Android,Yes (AES),Biometric + PIN,12.0,Clean,,,,,Noncompliant,Compliant
AND-201,Android,Yes (AES),Alphanumeric (8),14.0,Clean,,,,,Compliant,Compliant
AND-202,Android,No,Alphanumeric (8),13.0,Clean,,,,,Noncompliant,Compliant
AND-203,Android,Yes (AES),4-digit PIN,11.0,Clean,,,,,Noncompliant,Compliant
AND-204,Android,No,Biometric + PIN,13.0,Rooted,,,,,Noncompliant,Compliant
AND-205,Android,No,Alphanumeric (8),13.0,Rooted,,,,,Noncompliant,Compliant
AND-206,Android,No,Biometric + PIN,14.0,Clean,,,,,Compliant,Compliant
AND-207,Android,No,Biometric + PIN,13.0,Rooted,,,,,Noncompliant,Compliant
AND-208,Android,Yes (AES),Biometric + PIN,14.0,Rooted,,,,,Compliant,Compliant
AND-209,Android,No,Alphanumeric (8),14.0,Clean,,,,,Compliant,Compliant
AND-210,Android,No,4-digit PIN,11.0,Clean,,,,,Noncompliant,Compliant
AND-211,Android,No,Biometric + PIN,12.0,Rooted,,,,,Noncompliant,Compliant
AND-212,Android,No,Biometric + PIN,13.0,Clean,,,,,Noncompliant,Compliant
AND-213,Android,Yes (AES),Alphanumeric (8),12.0,Rooted,,,,,Compliant,Compliant
AND-214,Android,Yes (AES),Alphanumeric (8),14.0,Clean,,,,,Noncompliant,Compliant
AND-215,Android,No,Biometric + PIN,14.0,Rooted,,,,,Noncompliant,Compliant
AND-216,Android,Yes (AES),4-digit PIN,12.0,Rooted,,,,,Compliant,Compliant
AND-217,Android,Yes (AES),Alphanumeric (8),14.0,Rooted,,,,,Compliant,Compliant
AND-218,Android,No,4-digit PIN,13.0,Rooted,,,,,Noncompliant,Compliant
AND-219,Android,Yes (AES),4-digit PIN,11.0,Clean,,,,,Noncompliant,Compliant
AND-220,Android,Yes (AES),Biometric + PIN,14.0,Rooted,,,,,Noncompliant,Compliant
AND-221,Android,No,4-digit PIN,12.0,Rooted,,,,,Noncompliant,Compliant
AND-222,Android,No,4-digit PIN,11.0,Rooted,,,,,Noncompliant,Compliant
AND-223,Android,Yes (AES),Alphanumeric (8),14.0,Rooted,,,,,Noncompliant,Compliant
AND-224,Android,Yes (AES),Alphanumeric (8),11.0,Rooted,,,,,Compliant,Compliant
AND-225,Android,No,Biometric + PIN,14.0,Clean,,,,,Compliant,Compliant
AND-226,Android,No,Alphanumeric (8),14.0,Clean,,,,,Noncompliant,Compliant
AND-227,Android,Yes (AES),Alphanumeric (8),14.0,Clean,,,,,Noncompliant,Compliant
AND-228,Android,Yes (AES),Biometric + PIN,14.0,Clean,,,,,Compliant,Compliant
AND-229,Android,Yes (AES),Alphanumeric (8),12.0,Rooted,,,,,Noncompliant,Compliant
AND-230,Android,No,Alphanumeric (8),14.0,Clean,,,,,Compliant,Compliant
AND-231,Android,Yes (AES),Biometric + PIN,11.0,Clean,,,,,Compliant,Compliant
AND-232,Android,No,Biometric + PIN,13.0,Rooted,,,,,Compliant,Compliant
AND-233,Android,No,Biometric + PIN,11.0,Clean,,,,,Noncompliant,Compliant
AND-234,Android,No,Alphanumeric (8),14.0,Clean,,,,,Noncompliant,Compliant
AND-235,Android,Yes (AES),Biometric + PIN,12.0,Rooted,,,,,Compliant,Compliant
AND-236,Android,No,4-digit PIN,11.0,Rooted,,,,,Noncompliant,Compliant
AND-237,Android,No,4-digit PIN,12.0,Clean,,,,,Noncompliant,Compliant
AND-238,Android,No,Alphanumeric (8),11.0,Rooted,,,,,Compliant,Compliant
AND-239,Android,No,Alphanumeric (8),11.0,Rooted,,,,,Compliant,Compliant
AND-240,Android,No,4-digit PIN,13.0,Rooted,,,,,Noncompliant,Compliant
AND-241,Android,Yes (AES),Alphanumeric (8),13.0,Clean,,,,,Noncompliant,Compliant
AND-242,Android,Yes (AES),Alphanumeric (8),12.0,Rooted,,,,,Compliant,Compliant
AND-243,Android,Yes (AES),4-digit PIN,11.0,Clean,,,,,Noncompliant,Compliant
AND-244,Android,No,Biometric + PIN,13.0,Clean,,,,,Compliant,Compliant
AND-245,Android,No,4-digit PIN,14.0,Rooted,,,,,Compliant,Compliant
AND-246,Android,No,Biometric + PIN,11.0,Rooted,,,,,Noncompliant,Compliant
AND-247,Android,No,4-digit PIN,14.0,Rooted,,,,,Compliant,Compliant
AND-248,Android,Yes (AES),Alphanumeric (8),11.0,Rooted,,,,,Noncompliant,Compliant
AND-249,Android,No,Alphanumeric (8),11.0,Clean,,,,,Noncompliant,Compliant
AND-250,Android,No,Biometric + PIN,13.0,Clean,,,,,Compliant,Compliant
AND-251,Android,No,Biometric + PIN,11.0,Clean,,,,,Compliant,Compliant
AND-252,Android,Yes (AES),Biometric + PIN,12.0,Clean,,,,,Compliant,Compliant
AND-253,Android,Yes (AES),Alphanumeric (8),11.0,Clean,,,,,Noncompliant,Compliant
AND-254,Android,Yes (AES),4-digit PIN,13.0,Rooted,,,,,Noncompliant,Compliant
AND-255,Android,Yes (AES),4-digit PIN,13.0,Clean,,,,,Noncompliant,Compliant
AND-256,Android,No,Alphanumeric (8),14.0,Clean,,,,,Noncompliant,Compliant
AND-257,Android,Yes (AES),Alphanumeric (8),14.0,Rooted,,,,,Noncompliant,Compliant
AND-258,Android,No,4-digit PIN,11.0,Clean,,,,,Compliant,Compliant
AND-259,Android,No,4-digit PIN,13.0,Rooted,,,,,Compliant,Compliant
AND-260,Android,No,Biometric + PIN,13.0,Rooted,,,,,Noncompliant,Compliant
AND-261,Android,No,4-digit PIN,12.0,Clean,,,,,Noncompliant,Compliant
AND-262,Android,No,Biometric + PIN,11.0,Rooted,,,,,Compliant,Compliant
AND-263,Android,No,Biometric + PIN,11.0,Rooted,,,,,Noncompliant,Compliant
AND-264,Android,No,4-digit PIN,12.0,Rooted,,,,,Compliant,Compliant
AND-265,Android,Yes (AES),Biometric + PIN,12.0,Rooted,,,,,Noncompliant,Compliant
AND-266,Android,Yes (AES),4-digit PIN,12.0,Clean,,,,,Compliant,Compliant
AND-267,Android,Yes (AES),Biometric + PIN,11.0,Clean,,,,,Noncompliant,Compliant
AND-268,Android,No,Biometric + PIN,11.0,Rooted,,,,,Compliant,Compliant
AND-269,Android,Yes (AES),Alphanumeric (8),14.0,Clean,,,,,Compliant,Compliant
AND-270,Android,No,Biometric + PIN,14.0,Rooted,,,,,Compliant,Compliant
AND-271,Android,Yes (AES),4-digit PIN,14.0,Rooted,,,,,Noncompliant,Compliant
AND-272,Android,Yes (AES),Biometric + PIN,14.0,Rooted,,,,,Compliant,Compliant
AND-273,Android,No,4-digit PIN,12.0,Clean,,,,,Noncompliant,Compliant
AND-274,Android,Yes (AES),Biometric + PIN,12.0,Rooted,,,,,Noncompliant,Compliant
AND-275,Android,No,Alphanumeric (8),12.0,Clean,,,,,Noncompliant,Compliant
AND-276,Android,No,Biometric + PIN,12.0,Clean,,,,,Noncompliant,Compliant
AND-277,Android,No,4-digit PIN,11.0,Rooted,,,,,Compliant,Compliant
AND-278,Android,No,Biometric + PIN,12.0,Clean,,,,,Noncompliant,Compliant
AND-279,Android,No,4-digit PIN,12.0,Clean,,,,,Noncompliant,Compliant
AND-280,Android,No,Biometric + PIN,11.0,Clean,,,,,Noncompliant,Compliant
AND-281,Android,Yes (AES),4-digit PIN,13.0,Rooted,,,,,Compliant,Compliant
AND-282,Android,No,4-digit PIN,12.0,Clean,,,,,Noncompliant,Compliant
AND-283,Android,No,Alphanumeric (8),11.0,Clean,,,,,Noncompliant,Compliant
AND-284,Android,Yes (AES),4-digit PIN,14.0,Clean,,,,,Compliant,Compliant
AND-285,Android,No,Alphanumeric (8),11.0,Clean,,,,,Compliant,Compliant
AND-286,Android,Yes (AES),Biometric + PIN,14.0,Rooted,,,,,Noncompliant,Compliant
AND-287,Android,Yes (AES),4-digit PIN,13.0,Rooted,,,,,Noncompliant,Compliant
AND-288,Android,Yes (AES),Alphanumeric (8),12.0,Rooted,,,,,Noncompliant,Compliant
AND-289,Android,No,4-digit PIN,12.0,Rooted,,,,,Compliant,Compliant
AND-290,Android,Yes (AES),4-digit PIN,12.0,Rooted,,,,,Compliant,Compliant
AND-291,Android,Yes (AES),Biometric + PIN,14.0,Rooted,,,,,Noncompliant,Compliant
AND-292,Android,Yes (AES),Alphanumeric (8),12.0,Rooted,,,,,Compliant,Compliant
AND-293,Android,Yes (AES),Biometric + PIN,12.0,Rooted,,,,,Compliant,Compliant
AND-294,Android,No,Biometric + PIN,14.0,Rooted,,,,,Compliant,Compliant
AND-295,Android,No,4-digit PIN,13.0,Rooted,,,,,Noncompliant,Compliant
AND-296,Android,Yes (AES),Alphanumeric (8),14.0,Clean,,,,,Compliant,Compliant
AND-297,Android,No,Biometric + PIN,11.0,Clean,,,,,Noncompliant,Compliant
AND-298,Android,No,Alphanumeric (8),11.0,Rooted,,,,,Noncompliant,Compliant
AND-299,Android,Yes (AES),4-digit PIN,14.0,Rooted,,,,,Noncompliant,Compliant
AND-300,Android,No,Alphanumeric (8),14.0,Rooted,,,,,Noncompliant,Compliant
AND-301,Android,Yes (AES),Alphanumeric (8),14.0,Rooted,,,,,Compliant,Compliant
AND-302,Android,No,Alphanumeric (8),14.0,Clean,,,,,Noncompliant,Compliant
AND-303,Android,No,Alphanumeric (8),12.0,Rooted,,,,,Noncompliant,Compliant
AND-304,Android,Yes (AES),Biometric + PIN,11.0,Clean,,,,,Compliant,Compliant
AND-305,Android,Yes (AES),Biometric + PIN,11.0,Clean,,,,,Noncompliant,Compliant
AND-306,Android,No,4-digit PIN,13.0,Rooted,,,,,Noncompliant,Compliant
